"vendor","isbn","class","title"
"nielsen",9780199972234,,"Warriors and Worriers: The Survival of the Sexes"
"worldcat",9780199972234,0,"Warriors and worriers : the survival of the sexes"
"outpan",9780199972234,,"Warriors and Worriers"
"nielsen",9780415201797,,"Gender: A Sociological Reader"
"worldcat",9780415201797,0,"Gender : a sociological reader"
"open-library",415201799,,"Gender"
"outpan",9780415201797,,"Gender"
"nielsen",9781107624955,,"Early Childhood Curriculum: Planning, Assessment, and Implementation"
"worldcat",9781107624955,0,"Early childhood curriculum : planning, assessment, and implementation"
"outpan",9781107624955,,"Early Childhood Curriculum: Planning, Assessment, and Implementation"
"nielsen",9781451685985,,"The Importance of Being Earnest and Other Plays"
"nielsen",9781849058988,,"A Child's Journey Through Placement"
"worldcat",9781849058988,,"A child's journey through placement"
"open-library",9781849058988,,"A child's journey through placement"
"outpan",9781849058988,,"A Child's Journey Through Placement"
"nielsen",9780582431911,,"The Ultimate Film Guides: \Psycho\"""""
"worldcat",9780582431911,0,"Psycho : director Alfred Hitchcock"
"open-library",9780582431911,,"Psycho"
"outpan",9780582431911,,"Psycho"
"nielsen",9780007261369,,"Collins Pocket English Dictionary"
"worldcat",9780007208784,,"Collins English dictionary."
"open-library",9780007208784,,"Collins Express English Dictionary"
"outpan",9780007208784,,"Collins English dictionary"
"nielsen",9780816611669,,"Postmodern Condition CB"
"worldcat",9780816611669,0,"The postmodern condition : a report on knowledge"
"outpan",9780816611669,,"The postmodern condition"
"open-library",9780816611669,,"The postmodern condition"
"nielsen",9781604136319,,"William Shakespeare - Comedies"
"worldcat",9781604136319,0,"William Shakespeare : comedies"
"outpan",9781604136319,,"William Shakespeare: Comedies"
"open-library",9781604136319,,"William Shakespeare"
"nielsen",9780199579044,,"Cases and Materials on Constitutional and Administrative Law"
"worldcat",9780199579044,,"Cases and materials on constitutional and administrative law"
"outpan",9780199579044,,"Cases and Materials on Constitutional and Administrative Law"
"open-library",9780199579044,,"Cases and materials on constitutional and administrative law"
"nielsen",9780443102301,,"The Evidence-Based Practice Manual for Nurses"
"worldcat",9780443102301,,"The evidence-based practice manual for nurses"
"outpan",9780443102301,,"The Evidence-Based Practice Manual for Nurses"
"open-library",9780443102301,0,"The evidence-based practice manual for nurses"
"nielsen",9780877549222,0,"William Shakespeare's \As You Like it\"""""
"worldcat",9780877549222,0,"William Shakespeare's As you like it"
"open-library",877549222,0,"William Shakespeare's As you like it"
"outpan",9780877549222,0,"William Shakespeare&#39;s As You Like It"
"nielsen",9780313311581,0,"\As You Like it\"": A Guide to the Play"""
"worldcat",9780313311581,0,"As you like it : a guide to the play"
"outpan",9780313311581,,"As You Like It: A Guide to the Play"
"open-library",313311587,,"As you like it"
"nielsen",9781405185677,,"Becoming a Reflective Practitioner"
"worldcat",9781405118330,,"Becoming a reflective practitioner"
"outpan",9781405118330,,"Becoming a reflective practitioner"
"open-library",9781405118330,,"Becoming a Reflective Practitioner"
"nielsen",9780813349565,,"The New Urban Sociology"
"outpan",9780813349565,,"The New Urban Sociology"
"nielsen",9781864700411,,"Designing with Light and Shadow"
"worldcat",9781864700411,,"Designing with light and shadow"
"outpan",9781864700411,,"Designing with Light and Shadow"
"open-library",1864700416,,"Designing with light and shadow"
"nielsen",9780230293847,,"Social Work with Adults: Policy, Law, Theory, Research and Practice"
"worldcat",9780230293847,,"Social work with adults"
"outpan",9780230293847,,"Social Work with Adults"
"open-library",9780230293847,,"Social work with adults"
"nielsen",9780814756607,,"Beyond the Mountains of the Damned: The War inside Kosovo"
"worldcat",9780814756607,0,"Beyond the mountains of the damned : the war inside Kosovo"
"outpan",9780814756607,,"Beyond the Mountains of the Damned: The War inside Kosovo"
"open-library",814756603,,"Beyond the Mountains of the Damned"
"nielsen",9781447122005,,"Wind Energy Conversion Systems: Technology and Trends"
"worldcat",9781447122005,,"Wind energy conversion system"
"open-library",9781447122005,,"Wind energy conversion systems"
"outpan",9781447122005,,"Wind Energy Conversion Systems"
"worldcat",9780070973329,,"Principles of mathematics 10"
"open-library",9780070973329,,"Principles of mathematics 10"
"nielsen",9780123978042,,"Subsea Engineering Handbook"
"worldcat",9780123978042,,"Subsea engineering handbook"
"outpan",9780123978042,,"Subsea Engineering Handbook"
"open-library",9780123978042,,"Subsea engineering handbook"
"nielsen",9780585353432,,"Language: Structure, Processing, and Disorders"
"worldcat",9780585353432,,"Language structure, processing, and disorders"
"outpan",9780585353432,,"Language"
"nielsen",9780199202959,,"Social Research Methods"
"worldcat",9780199202959,,"Social research methods"
"open-library",9780199202959,,"Social research methods"
"outpan",9780199202959,,"Social Research Methods"
"nielsen",9780240519722,,"Radio Production: A Manual for Broadcasters"
"worldcat",9780240519722,,"Radio production"
"open-library",240519728,,"Radio production"
"outpan",9780240519722,,"Radio Production"
"nielsen",9781439802458,,"Handbook of Aqueous Solubility Data"
"worldcat",9781439802458,,"Handbook of aqueous solubility data"
"outpan",9781439802458,,"Handbook of Aqueous Solubility Data"
"open-library",9781439802458,,"Handbook of aqueous solubility data"
"nielsen",9780766826786,,"Basic Infection Control for the Health Care Profession"
"worldcat",9780766826786,,"Basic infection control for health care providers"
"outpan",9780766826786,,"Basic Infection Control for the Health Care Professional"
"open-library",766826783,,"Basic infection control for health care providers"
"nielsen",9780679755579,,"In Europe's Name: Germany and the Divided Continent"
"worldcat",9780679755579,0,"In Europe's name : Germany and the divided continent"
"outpan",9780679755579,0,"In Europe&#39;s Name: Germany and the Divided Continent"
"open-library",9780679755579,,"In Europe's Name"
"nielsen",9780230292192,,"Spatial Planning and Governance: Understanding UK Planning"
"worldcat",9780230292192,0,"Spatial planning and governance : understanding UK planning"
"outpan",9780230292192,,"Spatial Planning and Governance"
"open-library",9780230292192,,"Spatial planning and governance"
"nielsen",9781853029424,,"Advocacy and Learning Disability"
"worldcat",9781853029424,,"Advocacy and learning disability"
"outpan",9781853029424,,"Advocacy and Learning Disability"
"open-library",1853029424,,"Advocacy and learning disability"
"nielsen",9780141187426,,"Orientalism: Western Conceptions of the Orient"
"worldcat",9780141187426,,"Orientalism"
"outpan",9780141187426,,"Orientalism"
"open-library",9780141187426,,"Orientalism (Penguin Modern Classics)"
"nielsen",9780230216921,,"Mastering Communication"
"worldcat",9780230216921,,"Mastering communication"
"outpan",9780230216921,,"Mastering Communication"
"open-library",9780230216921,,"Mastering Communication"
"nielsen",9781558762749,,"The African Diaspora in the Mediterranean Lands of Islam"
"worldcat",9781558762749,,"The African diaspora in the Mediterranean lands of Islam"
"outpan",9781558762749,,"The African Diaspora in the Mediterranean Lands of Islam"
"open-library",1558762744,,"The African diaspora in the Mediterranean lands of Islam"
"nielsen",9781901888997,,"Employability Skills"
"worldcat",9781901888997,,"Employability skills"
"nielsen",9780911910131,,"The Merck Index: An Encyclopaedia of Chemicals, Drugs and Biologicals"
"worldcat",9780911910131,0,"Merck Index : an encyclopedia of chemicals, drugs, & biologicals : 13th ed."
"outpan",9780911910131,0,"The Merck Index : An Encyclopedia of Chemicals, Drugs, and Biologicals"
"open-library",911910131,,"The Merck index"
"nielsen",9780566091971,,"Understanding Work - Based Learning"
"worldcat",9780566091971,,"Understanding work-based learning"
"outpan",9780566091971,,"Understanding Work-Based Learning"
"open-library",9780566091971,,"Understanding work-based learning"
"nielsen",9781403934345,,"Work Placements: A Survival Guide for Students"
"worldcat",9781403934345,0,"Work placements : a survival guide for students"
"outpan",9781403934345,,"Work Placements: A Survival Guide for Students (Palgrave Study Guides)"
"open-library",9781403934345,,"Work Placements (Palgrave Study Guides)"
"nielsen",9783643901477,,"Immigration and German Identity in the Federal Republic of Germany from 1945 to 2006"
"worldcat",9783643901477,,"Immigration and German identity in the Federal Republic of Germany from 1945 to 2006"
"outpan",9783643901477,,"Immigration and German Identity in the Federal Republic of Germany from 1945 to 2006"
"nielsen",9781405195690,,"The Care of Wounds: A Guide for Nurses"
"worldcat",9781405195690,0,"The care of wounds : a guide for nurses"
"outpan",9781405195690,,"The Care of Wounds: A Guide for Nurses"
"nielsen",9781412914468,,"Leadership in Nonprofit Organizations: Lessons from the Third Sector"
"worldcat",9781412914468,,"Leadership in nonprofit organizations"
"outpan",9781412914468,,"Leadership in Nonprofit Organizations: Lessons from the Third Sector"
"open-library",1412914469,,"Leadership in nonprofit organizations"
"nielsen",9780749445591,,"Taking Minutes of Meetings"
"worldcat",9780749445591,,"Taking minutes of meetings"
"outpan",9780749445591,,"Taking Minutes of Meetings"
"open-library",9780749445591,,"Taking Minutes of Meetings (Creating Success)"
"nielsen",9781558762749,,"The African Diaspora in the Mediterranean Lands of Islam"
"worldcat",9781558762749,,"The African diaspora in the Mediterranean lands of Islam"
"outpan",9781558762749,,"The African Diaspora in the Mediterranean Lands of Islam"
"open-library",1558762744,,"The African diaspora in the Mediterranean lands of Islam"
"nielsen",9780385339414,,"Hannibal Rising"
"worldcat",9780385339414,,"Hannibal rising"
"outpan",9780385339414,,"Hannibal Rising"
"open-library",9780385339414,,"Hannibal rising"
"worldcat",9780138210663,,"The sociology of religion"
"outpan",9780138210663,,"The sociology of religion"
"open-library",138210667,,"The sociology of religion"
"nielsen",9781848601987,,"Understanding Social Enterprise: Theory and Practice"
"worldcat",9781848601987,0,"Understanding social enterprise : theory & practice"
"outpan",9781848601987,,"Understanding Social Enterprise"
"open-library",9781848601987,,"Understanding social enterprise"
"nielsen",9780199202959,,"Social Research Methods"
"worldcat",9780199202959,,"Social research methods"
"outpan",9780199202959,,"Social Research Methods"
"open-library",9780199202959,,"Social research methods"
"nielsen",9780292731028,,"Texian Iliad: A Military History of the Texas Revolution"
"worldcat",9780292731028,0,"Texian Iliad : a military history of the Texas Revolution, 1835-1836"
"outpan",9780292731028,,"Texian Iliad A Military History of the Texas Revolution, 1835-1836"
"open-library",9780292731028,,"Texian Iliad"
"nielsen",9781446282359,,"Reflective Practice: Writing and Professional Development"
"worldcat",9781446282359,,"Reflective Practice Writing and Professional Development."
"outpan",9781446282359,,"Reflective Practice: Writing and Professional Development"
"nielsen",9780497253097,,"The Importance of Being Earnest"
"outpan",9780497253097,,"The Importance Of Being Earnest"
"open-library",9780497253097,,"The Importance of Being Earnest"
"nielsen",9780802118219,,"En Attendant Waiting for Godot"
"worldcat",9780802118219,0,"En attendant Godot = Waiting for Godot : tragicomedy in 2 acts"
"open-library",802118216,0,"En attendant Godot ="
"outpan",9780802118219,,"Waiting for Godot"
"worldcat",9780865439795,,"The African diaspora in the Indian Ocean"
"outpan",9780865439795,,"The African Diaspora in the Indian Ocean"
"open-library",865439796,,"The African diaspora in the Indian Ocean"
"nielsen",9780335205806,,"Work-based Learning: A New Higher Education?"
"worldcat",9780335205806,0,"Work-based learning : a new higher education?"
"outpan",9780335205806,,"Work-Based Learning A New Higher Education?"
"open-library",9780335205806,,"Work-Based Learning"
"nielsen",9780385299299,,"Hannibal"
"worldcat",9780385299299,,"Hannibal"
"outpan",9780385299299,,"Hannibal (Hannibal Lecter Series #3)"
"open-library","038529929X",,"Hannibal"
"nielsen",9781446208182,,"Communication Skills in Health and Social Care"
"worldcat",9781446208182,,"Communication skills in health and social care"
"outpan",9781446208182,,"Communication Skills in Health and Social Care"
"open-library",9781446208182,,"Communication skills in health and social care"
"nielsen",9780230250185,,"Skills for Success: Personal Development and Employability"
"worldcat",9780230250185,0,"Skills for success : the personal development planning handbook"
"outpan",9780230250185,,"Skills for Success: The Personal Development Planning Handbook (Palgrave Study Guides)"
"nielsen",9780195062830,,"Race and Slavery in the Middle East: An Historical Enquiry"
"worldcat",9780195062830,0,"Race and slavery in the Middle East : an historical enquiry"
"outpan",9780195062830,,"Race and slavery in the Middle East"
"open-library",195062833,,"Race and slavery in the Middle East"
"nielsen",9780870707605,,"Tim Burton"
"worldcat",9780870707605,,"Tim Burton"
"outpan",9780870707605,,"Tim Burton"
"nielsen",9780802118219,,"En Attendant Waiting for Godot"
"worldcat",9780802118219,,"En attendant Godot = Waiting for Godot : tragicomedy in 2 acts"
"outpan",9780802118219,,"Waiting for Godot"
"open-library",802118216,,"En attendant Godot ="
"nielsen",9781841695808,,"Shell Shock to PTSD: Military Psychiatry from 1900 to the Gulf War"
"worldcat",9781841695808,,"Shell shock to PTSD : military psychiatry from 1900 to the Gulf War"
"outpan",9781841695808,,"Shell Shock to PTSD: Military Psychiatry from 1900 to the Gulf War"
"open-library",1841695807,,"Shell shock to PTSD"
"nielsen",9780759560413,,"A Second Chance at Eden"
"worldcat",9780759560413,,"A second chance at Eden"
"open-library",9780759560413,,"A Second Chance at Eden"
"nielsen",9780880332309,,"The Unification of Germany: The Anatomy of a Peaceful Revolution"
"worldcat",9780880332309,,"The unification of Germany or the anatomy of a peaceful revolution"
"outpan",9780880332309,,"The Unification of Germany: The Anatomy of a Peaceful Revolution"
"open-library",880332301,,"The unification of Germany, or, The anatomy of a peaceful revolution"
"nielsen",9780749445478,,"How to Manage Meetings"
"worldcat",9780749445478,,"How to manage meetings"
"outpan",9780749445478,,"How to Manage Meetings"
"open-library",9780749445478,,"How to Manage Meetings (The Sunday Time Creating Success)"
"nielsen",9780404622787,,"\Accompaninge the Players\"": Essays Celebrating Thomas Middleton"
"worldcat",9780404622787,,"\Accompaninge the players\"" : essays celebrating Thomas Middleton"
"outpan",9780404622787,,"Accompaninge the Players: Essays Celebrating Thomas Middleton, 1581-1980"
"open-library","040462278X",,"\Accompaninge the players\"""""
"nielsen",9780335234592,,"Understanding Health Inequalities"
"worldcat",9780335234592,,"Understanding health inequalities"
"outpan",9780335234592,,"Understanding Health Inequalities"
"open-library",9780335234592,,"Understanding health inequalities"
"nielsen",9781853260599,,"As You Like it"
"worldcat",9781853260599,,"As you like it"
"outpan",9781853260599,,"As You Like It"
"open-library",9781853260599,,"As You Like It"
"nielsen",9780333993538,,"Promoting Equality: Challenging Discrimination and Oppression"
"worldcat",9780333993538,,"Promoting equality : challenging discrimination and oppression"
"outpan",9780333993538,,"Promoting Equality : Challenging Discrimination and Oppression"
"open-library",333993535,,"Promoting equality"
"nielsen",9780198225867,,"Sport and the British: A Modern History"
"worldcat",9780198225867,,"Sport and the British : a modern history"
"outpan",9780198225867,,"Sport and the British: A Modern History"
"open-library",198225865,,"Sport and the British"
"nielsen",9781843546610,,"The Social Entrepreneur: Making Communities Work"
"worldcat",9781843546610,,"The social entrepreneur : making communities work"
"outpan",9781843546610,,"The Social Entrepreneur: Making Communities Work"
"nielsen",9780007245956,,"Sociology Themes and Perspectives"
"worldcat",9780007245956,,"Sociology : themes and perspectives"
"outpan",9780007245956,,"Sociology Themes and Perspectives"
"nielsen",9780292730861,,"Texian Iliad: A Military History of the Texas Revolution, 1835-1836"
"worldcat",9780292730861,,"Texian iliad : a military history of the Texas Revolution, 1835-1836"
"outpan",9780292730861,,"Texian Iliad A Military History of the Texas Revolution, 1835-1836"
"open-library",292730861,,"Texian iliad"
"nielsen",9780333963876,,"Leadership: Limits and Possibilities"
"worldcat",9780333963876,,"Leadership : Limits and Possibilities."
"outpan",9780333963876,,"Leadership"
"open-library",9780333963876,,"Leadership"
"nielsen",9780345496553,,"The Temporal Void"
"worldcat",9780345496553,,"The temporal void"
"outpan",9780345496553,,"The Temporal Void"
"open-library",9780345496553,,"The Temporal Void"
"nielsen",9781466571143,,"CRC Handbook of Chemistry and Physics: A Ready-Reference Book of Chemical and Physical Data"
"worldcat",9781466571143,,"CRC handbook of chemistry and physics : a ready-reference book of chemical and physical data."
"outpan",9781466571143,,"CRC Handbook of Chemistry and Physics, 2013-2014"
"open-library",9781466571143,,"CRC handbook of chemistry and physics : a ready-reference book of chemical and physical data."
"nielsen",9780300044157,,"The Two Germanies Since 1945"
"worldcat",9780300044157,0,"Two germanies since 1945 : east & west."
"outpan",9780300044157,,"The Two Germanies Since 1945"
"open-library",300044151,,"The two Germanies since 1945"
"nielsen",9781845284732,,"A Practical Guide to Mentoring: Down to Earth Guidance on Making Mentoring Work for You"
"worldcat",9781845284732,,"A practical guide to mentoring : down to earth guidance on making mentoring work for you"
"nielsen",9781853267499,,"Billy Budd and Other Stories"
"worldcat",9781853267499,,"Billy Budd"
"outpan",9781853267499,,"Billy Budd and Other Stories"
"open-library",9781853267499,0,"Billy Budd & Other Stories (Wordsworth Classics) (Wordsworth Classics)"
"nielsen",9781901341034,,"The Letters of Elizabeth Gaskell"
"worldcat",9781901341034,,"The letters of Mrs. Gaskell"
"outpan",9781901341034,,"The Letters of Mrs. Gaskell"
"open-library",1901341038,,"The letters of Mrs Gaskell"
"nielsen",9780195026474,,"The Self in Social Psychology"
"worldcat",9780195026474,,"The self in social psychology"
"outpan",9780195026474,,"The Self in social psychology"
"open-library",195026470,,"The Self in social psychology"
"nielsen",9780345496577,,"The Evolutionary Void"
"worldcat",9780345496577,,"The evolutionary void"
"outpan",9780345496577,,"The Evolutionary Void"
"open-library",9780345496577,,"The Evolutionary Void"
"nielsen",9780955297953,,"The Belbin Guide to Succeeding at Work"
"worldcat",9780955297953,,"The Belbin guide to succeeding at work."
"nielsen",9780679745402,,"Technopoly"
"worldcat",9780679745402,,"Technopoly : the surrender of culture to technology"
"outpan",9780679745402,,"Technopoly: The Surrender of Culture to Technology"
"open-library",9780679745402,,"Technopoly"
"nielsen",9780313343032,,"ADHD"
"worldcat",9780313343032,,"ADHD"
"nielsen",9781596670112,,"Standards for Instructional Supervision: Enhancing Teaching and Learning"
"worldcat",9781596670112,,"Standards for instructional supervision : enhancing teaching and learning"
"outpan",9781596670112,,"Standards for Instructional Supervision: Enhancing Teaching and Learning: Enhancing Teaching and Learning"
"open-library",1596670118,,"Standards for instructional supervision"
"nielsen",9780072307832,,"Teaching for Musical Understanding"
"worldcat",9780072307832,,"Teaching for musical understanding"
"outpan",9780072307832,,"Teaching for musical understanding"
"open-library",9780072307832,,"Teaching for musical understanding"
"nielsen",9780345461667,,"Judas Unchained"
"worldcat",9780345461667,,"Judas unchained"
"outpan",9780345461667,,"Judas unchained"
"open-library",9780345461667,,"Judas unchained"
"nielsen",9780471957713,,"Psychology of Pain"
"worldcat",9780471957713,,"Psychology of pain"
"outpan",9780471957713,,"Psychology of pain"
"open-library",471957712,,"Psychology of pain"
"nielsen",9781901888997,,"Employability Skills"
"worldcat",9781901888997,,"Employability skills"
"nielsen",9780471449447,,"Valuation for Mergers, Buyouts and Restructuring"
"worldcat",9780471449447,,"Valuation for mergers, buyouts, and restructuring"
"outpan",9780471449447,,"Valuation for Mergers, Buyouts and Restructuring"
"open-library",9780471449447,,"Valuation for Mergers, Buyouts and Restructuring"
"nielsen",9780374155407,,"Five Germanys I Have Known"
"worldcat",9780374155407,,"Five Germanys I have known"
"open-library",9780374155407,,"Five Germanys I Have Known"
"outpan",9780374155407,,"Five Germanys I Have Known"
"nielsen",9781405185677,,"Becoming a Reflective Practitioner"
"worldcat",9781405118330,,"Becoming a reflective practitioner"
"outpan",9781405118330,,"Becoming a reflective practitioner"
"open-library",9781405118330,,"Becoming a Reflective Practitioner"
"nielsen",9781446208182,,"Communication Skills in Health and Social Care"
"worldcat",9781446208182,,"Communication skills in health and social care"
"outpan",9781446208182,,"Communication Skills in Health and Social Care"
"open-library",9781446208182,,"Communication skills in health and social care"
"nielsen",9781446267752,,"Qualitative Text Analysis: A Guide to Methods, Practice and Using Software"
"worldcat",9781446267752,,"Qualitative text analysis : a guide to methods, practice and using software"
"outpan",9781446267752,,"Qualitative Text Analysis: A Guide to Methods, Practice and Using Software"
"nielsen",9780300108842,,"The People's State: East German Society from Hitler to Honecker"
"worldcat",9780300108842,,"The people's state East German society from Hitler to Honecker"
"outpan",9780300108842,0,"The People&#39;s State: East German Society from Hitler to Honecker"
"open-library",9780300108842,,"The People's State"
"nielsen",9781403934345,,"Work Placements: A Survival Guide for Students"
"worldcat",9781403934345,,"Work placements : a survival guide for students"
"outpan",9781403934345,,"Work Placements: A Survival Guide for Students (Palgrave Study Guides)"
"open-library",9781403934345,,"Work Placements (Palgrave Study Guides)"
"nielsen",9781405088800,,"The Dreaming Void"
"worldcat",9781405088800,,"The dreaming void"
"outpan",9781405088800,,"The Dreaming Void"
"open-library","140508880X",,"DREAMING VOID: PART ONE OF THE VOID TRILOGY."
"nielsen",9780954007959,,"AS Level Sociology: The Complete Course for the AQA Specification"
"worldcat",9780954007959,,"As Level Sociology The Complete Course for the Aqa Specification."
"outpan",9780954007959,,"AS Level Sociology: The Complete Course for the AQA Specification (The Complete Course for t..."
"nielsen",9781934110140,,"Francois Truffaut: Interviews"
"worldcat",9781934110140,,"François Truffaut : interviews"
"outpan",9781934110140,,"Francois Truffaut: Interviews"
"open-library",9781934110140,,"Francois Truffaut"
"nielsen",9780333922866,,"SPSS for Social Scientists"
"worldcat",9780333922866,,"SPSS for social scientists"
"outpan",9780333922866,,"SPSS for Social Scientists"
"open-library",333922867,,"SPSS for social scientists"
"nielsen",9780226264035,,"Essays in Positive Economics"
"worldcat",9780226264035,,"Essays in positive economics"
"outpan",9780226264035,,"Essays in Positive Economics"
"open-library",9780226264035,,"Essays in Positive Economics (Phoenix Books)"
"nielsen",9780226264035,,"Essays in Positive Economics"
"worldcat",9780226264035,,"Essays in positive economics"
"outpan",9780226264035,,"Essays in Positive Economics"
"open-library",9780226264035,,"Essays in Positive Economics (Phoenix Books)"
"nielsen",9780804721806,,"Sex Differences in Depression"
"worldcat",9780804721806,,"Sex differences in depression"
"outpan",9780804721806,,"Sex Differences in Depression"
"open-library",9780804721806,,"Sex Differences in Depression"
"nielsen",9781446281994,,"Pain Management in Nursing Practice"
"nielsen",9780814661536,,"Essays on Early Eastern Eucharistic Prayers"
"worldcat",9780814661536,,"Essays on early eastern eucharistic prayers : [based on a series of seminars for doctoral students in liturgical studies at the University of Notre Dame]"
"outpan",9780814661536,,"Essays on Early Eastern Eucharistic Prayers"
"open-library","081466153X",,"Essays on early Eastern eucharistic prayers"
"nielsen",9780199556601,,"Strategic Marketing: Creating Competitive Advantage"
"worldcat",9780199556601,,"Strategic marketing : creating competitive advantage"
"outpan",9780199556601,,"Strategic Marketing: Creating Competitive Advantage"
"open-library",9780199556601,,"Strategic marketing"
"nielsen",9780340741535,,"The German Question and Europe: A History"
"worldcat",9780340741535,,"The German question and Europe : a history"
"outpan",9780340741535,,"The German Question and Europe: A History"
"open-library",340741538,,"The German question and the structure of Europe, 1800-1990"
"nielsen",9780340741535,,"The German Question and Europe: A History"
"worldcat",9780340741535,,"The German question and Europe : a history"
"outpan",9780340741535,,"The German Question and Europe: A History"
"open-library",340741538,,"The German question and the structure of Europe, 1800-1990"
"nielsen",9781852845674,,"Walking on Harris and Lewis: 30 Routes in the Outer Hebrides"
"worldcat",9781852845674,,"Walking on Harris and Lewis : 30 routes in the Outer Hebrides"
"outpan",9781852845674,,"Walking on Harris and Lewis"
"open-library",9781852845674,,"Walking on Harris and Lewis"
"nielsen",9780340741535,,"The German Question and Europe: A History"
"worldcat",9780340741535,,"The German question and Europe : a history"
"outpan",9780340741535,,"The German Question and Europe: A History"
"open-library",340741538,,"The German question and the structure of Europe, 1800-1990"
"worldcat",9781932112061,,"ReelViews : the ultimate guide to the best 1,000 modern movies on DVD and video"
"outpan",9781932112061,,"Reelviews: The Ultimate Guide to the Best 1,000 Modern Movies on Dvd and Video"
"open-library",1932112065,,"ReelViews"
"nielsen",9780415411790,,"Critical Thinking: An Exploration of Theory and Practice"
"worldcat",9780415411790,,"Critical thinking : an exploration of theory and practice"
"outpan",9780415411790,,"Critical Thinking: An Exploration of Theory and Practice"
"open-library",415411793,,"Critical thinking"
"nielsen",9781844800353,,"Introducing Organisational Behaviour and Management"
"worldcat",9781844800353,,"Introducing organizational behaviour and management"
"outpan",9781844800353,,"Introducing Organizational Behaviour and Management"
"open-library",9781844800353,,"Introducing Organizational Behaviour and Management"
"worldcat",9780816424184,,"The shape of the liturgy"
"outpan",9780816424184,,"The Shape of the Liturgy"
"open-library",816424187,,"The shape of the liturgy"
"nielsen",9781405846738,,"Perspectives on Play: Learning for Life"
"worldcat",9781405846738,,"Perspectives on play : learning for life"
"outpan",9781405846738,,"Perspectives on Play: Learning for Life"
"open-library",9781405846738,,"Perspectives on play"
"nielsen",9780520055773,,"Urban Fortunes: The Political Economy of Place"
"worldcat",9780520055773,,"Urban fortunes : the political economy of place"
"outpan",9780520055773,,"Urban fortunes"
"open-library",520055772,,"Urban fortunes"
"nielsen",9781569802380,,"Murder of a Mafia Daughter: The Life and Tragic Death of Susan Berman"
"worldcat",9781569802380,,"Murder of a Mafia daughter : the life and tragic death of Susan Berman"
"outpan",9781569802380,,"Murder of a Mafia Daughter: The Life and Tragic Death of Susan Berman"
"open-library",9781569802380,,"Murder of a Mafia Daughter"
"nielsen",9781405846738,,"Perspectives on Play: Learning for Life"
"worldcat",9781405846738,,"Perspectives on play : learning for life"
"open-library",9781405846738,,"Perspectives on play"
"outpan",9781405846738,,"Perspectives on Play: Learning for Life"
"nielsen",9780412408700,,"Effective Communication Skills for Health Professionals"
"worldcat",9780412408700,,"Effective communication skills for health professionals."
"outpan",9780412408700,,"Effective Communication Skills for Health Professionals (Therapy in practice)"
"open-library",412408708,,"Effective communication skills for health professionals"
"nielsen",9783931354145,,"Andy Warhol: Headshots - Essays by Bob Colacello"
"worldcat",9783931354145,,"Andy Warhol, headshots, drawings and paintings"
"outpan",9783931354145,,"Andy Warhol: Headshots"
"open-library",9783931354145,,"Andy Warhol"
"nielsen",9780028653549,,"Encyclopedia of Public Health"
"worldcat",9780028653549,,"The Gale encyclopedia of public health"
"outpan",9780028653549,,"Encyclopedia of Public Health"
"open-library",28653548,,"Encyclopedia of public health"
"nielsen",9783888147258,,"Art from Art"
"worldcat",9783888147258,,"Andy Warhol, art from art"
"outpan",9783888147258,,"Andy Warhol: Art from Art"
"open-library",3888147255,,"Andy Warhol, art from art"
"nielsen",9780415297882,,"The Managing Care Reader"
"worldcat",9780415297882,,"The managing care reader"
"outpan",9780415297882,,"Managing Care Reader"
"open-library",415297885,,"The managing care reader"
"nielsen",9780714846675,,"Andy Warhol Portraits"
"worldcat",9780714846675,,"Andy Warhol portraits"
"outpan",9780714846675,,"Warhol Portraits"
"open-library",9780714846675,,"Andy Warhol portraits"
"nielsen",9780801880230,,"Globalizing Women: Transnational Feminist Networks"
"worldcat",9780801880230,,"Globalizing women transnational feminist networks"
"outpan",9780801880230,,"Globalizing women"
"open-library",9780801880230,,"Globalizing Women"
"nielsen",9781405846738,,"Perspectives on Play: Learning for Life"
"worldcat",9781405846738,,"Perspectives on play : learning for life"
"outpan",9781405846738,,"Perspectives on Play: Learning for Life"
"open-library",9781405846738,,"Perspectives on play"
"nielsen",9780844293806,,"Actfl: Action for the '80'S: Vol 12"
"worldcat",9780844293806,,"Action for the '80s : a political, professional and public program for foreign language education."
"outpan",9780844293806,,"Action for the '80s A Political, Professional and Public Program for Foreign Language Education"
"open-library",9780844293806,,"Action for the '80s"
"nielsen",9780871203588,,"In Search of Understanding: The Case for Constructivist Classrooms"
"worldcat",9780871203588,,"In search of understanding : the case for constructivist classrooms"
"outpan",9780871203588,,"In Search of Understanding: The Case for Constructivist Classrooms"
"open-library",871203588,,"In search of understanding"
"nielsen",9781607747307,,"The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing"
"worldcat",9781607747307,,"The life-changing magic of tidying up : the Japanese art of decluttering and organizing"
"outpan",9781607747307,,"The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing"
"open-library",9781607747307,,"The Life-Changing Magic of Tidying Up"
"nielsen",9782070116614,,"Ecrits Sur Le Theatre"
"worldcat",9782070116614,,"Écrits sur le théâtre"
"outpan",9782070116614,,"Ecrits sur le theatre"
"open-library",9782070116614,,"Brecht "
"nielsen",9780273685692,,"Effective Business Communication: Perspectives, principles and practices"
"worldcat",9780273685692,,"Effective organisational communication : perspectives, principles and practices"
